p,Sequence,name,simbad,feh,cfe,nfe,ofe,nafe,mgfe,alfe,sife,cafe,scfe,tife,vfe,crfe,mnfe,cofe,nife,znfe,gafe,gefe,srfe,yfe,zrfe,nbfe,mofe,rufe,rhfe,pdfe,agfe,bafe,lafe,cefe,prfe,ndfe,smfe,eufe,gdfe,tbfe,dyfe,hofe,erfe,tmfe,ybfe,lufe,hffe,osfe,irfe,ptfe,aufe,pbfe,thfe,ufe,ref
1,574,HIP48146,BD+09  2242,-0.03,nan,nan,nan,-0.04,-0.12,-0.08,0.04,-0.02,nan,0.18,0.06,0.02,nan,nan,-0.01,nan,nan,nan,nan,0.09,0.14,nan,nan,nan,nan,nan,nan,0.06,nan,nan,nan,nan,nan,0.17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,FUL00
1,575,HIP69746,BD+09  2870,-2.39,nan,nan,nan,0.04,0.47,nan,0.66,0.39,nan,0.34,-0.03,-0.18,nan,nan,-0.04,nan,nan,nan,nan,-0.42,-0.03,nan,nan,nan,nan,nan,nan,-0.67,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,FUL00
1,578,BD+09_3223,BD+09  3223,-2.27,nan,nan,nan,0.74,0.58,-0.65,0.3,0.44,0,0.31,0.03,-0.04,-0.29,0.01,0.04,0.16,nan,nan,0.11,-0.17,0.13,nan,nan,nan,nan,nan,nan,-0.04,0.08,nan,nan,0.51,nan,0.12,nan,1.33,nan,nan,nan,nan,nan,nan,nan,1.53,nan,nan,nan,nan,nan,nan,JOH02ab
1,579,BD+10_2495,BD+10  2495,-2.06,nan,nan,nan,0.14,0.47,-0.73,0.27,0.33,-0.03,0.24,-0.05,-0.12,-0.47,0.11,-0.08,0.06,nan,nan,-0.04,-0.31,-0.04,nan,nan,nan,nan,nan,nan,-0.09,-0.02,-0.22,nan,0.29,nan,0.22,nan,0.83,nan,nan,nan,nan,nan,nan,nan,0.93,nan,nan,nan,nan,nan,nan,JOH02ab
1,580,BD+11_2998,BD+11  2998,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BUR00
1,581,HIP109067,BD+11  4725,-0.95,nan,nan,nan,0.1,0.32,nan,0.36,0.32,nan,0.3,0.13,0.05,nan,nan,0.08,nan,nan,nan,nan,0.22,nan,nan,nan,nan,nan,nan,nan,-0.17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,FUL00
1,582,BD+13_3683,BD+13  3683,-2.27,nan,nan,nan,nan,0.01,nan,0.33,0.39,nan,0.56,nan,nan,nan,0.52,0.07,nan,nan,nan,0.21,0.98,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RYA91
1,586,BD+17_3248,BD+17  3248,-2.06,-0.37,0.43,0.67,0.01,0.36,-0.7,0.5,0.4,0.08,0.38,-0.01,-0.13,-0.35,-0.01,-0.06,0.08,nan,-0.99,0.29,-0.11,0.24,0.42,nan,nan,nan,0.73,0.84,0.32,0.54,0.3,0.63,0.57,0.68,0.87,0.73,0.85,0.93,0.88,0.94,0.89,nan,nan,nan,1.11,0.98,1.11,0.84,0.61,0.86,0.6,COW02
1,587,HIP109558,BD+17  4708,-1.61,nan,nan,nan,0.07,0.36,nan,0.27,0.42,nan,0.47,0.24,0.01,nan,nan,-0.09,nan,nan,nan,nan,-0.05,0.26,nan,nan,nan,nan,nan,nan,0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,FUL00
1,588,BD+18_2757,BD+18  2757,-2.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BUR00
1,590,BD+18_2890,BD+18  2890,-1.71,nan,nan,nan,0.01,0.55,-0.64,0.48,0.43,0.07,0.31,0,-0.09,-0.36,0.11,-0.01,0.04,nan,nan,0.05,-0.12,0.16,nan,nan,nan,nan,nan,nan,0.16,0.19,0.05,nan,0.41,0.55,0.39,nan,0.82,0.46,nan,nan,nan,nan,nan,nan,0.92,nan,nan,nan,nan,nan,nan,JOH02ab
1,591,BD+20_2030,BD+20  2030,-2.68,nan,nan,nan,nan,0.27,nan,nan,0.47,nan,0.59,nan,0.09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ARN05
1,592,HIP72461,BD+26  2606,-2.46,nan,nan,nan,0,0.38,nan,nan,0.37,nan,0.57,nan,-0.11,nan,nan,nan,nan,nan,nan,nan,nan,-0.32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,FUL00
1,594,HIP73960,BD+30  2611,-1.35,nan,nan,nan,-0.3,0.23,-0.03,0.27,0.17,nan,0.28,0,-0.06,nan,nan,-0.13,nan,nan,nan,nan,-0.4,0.33,nan,nan,nan,nan,nan,nan,0.09,nan,nan,nan,nan,nan,0.66,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,FUL00
1,595,HIP63970,BD+33  2300,-0.07,nan,nan,nan,-0.01,-0.04,-0.04,0.07,0,nan,0.09,0.07,0.06,nan,nan,0.01,nan,nan,nan,nan,0.03,0,nan,nan,nan,nan,nan,nan,0.08,nan,nan,nan,nan,nan,-0.09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,FUL00
1,596,BD+44_493,BD+44   493,-3.73,1.32,0.32,1.61,0.25,0.5,-0.6,0.46,0.29,0.38,0.31,-1.2,-0.39,-1.11,0.46,0.1,0.46,nan,nan,-0.16,-0.29,-0.16,nan,nan,nan,nan,nan,nan,-0.55,nan,nan,nan,nan,nan,0.18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.71,nan,nan,ITO09
