p,Sequence,name,simbad,feh,cfe,nfe,ofe,nafe,mgfe,alfe,sife,cafe,scfe,tife,vfe,crfe,mnfe,cofe,nife,znfe,gafe,gefe,srfe,yfe,zrfe,nbfe,mofe,rufe,rhfe,pdfe,agfe,bafe,lafe,cefe,prfe,ndfe,smfe,eufe,gdfe,tbfe,dyfe,hofe,erfe,tmfe,ybfe,lufe,hffe,osfe,irfe,ptfe,aufe,pbfe,thfe,ufe,ref
1,290,HE1335+0135,2MASS J13375386+0120270,-2.47,0.1,nan,nan,nan,0.26,-0.91,nan,0.26,0.04,0.26,nan,0.04,-0.33,0.04,0.2,0.59,nan,nan,0.14,-0.12,nan,nan,nan,nan,nan,nan,nan,-0.82,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,291,HE1337-0453,2MASS J13395820-0508313,-2.34,0.08,nan,nan,nan,0.36,-1.05,nan,0.46,0.17,0.46,nan,-0.11,-0.59,0,-0.1,nan,nan,nan,0.25,nan,nan,nan,nan,nan,nan,nan,nan,-0.29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,295,BS16467-062,2MASS J13420063+1748408,-3.52,0.69,0.69,1.98,-0.47,0.29,-0.21,0.36,0.18,0.15,0.29,0.4,-0.47,-0.85,0.65,0.23,1.05,nan,nan,-1.67,nan,nan,nan,nan,nan,nan,nan,nan,-0.57,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,COH08
1,296,HE1343-0640,2MASS J13460903-0655464,-1.9,0.73,nan,nan,nan,0.35,-0.83,nan,0.43,0.09,0.39,nan,0,-0.47,-0.15,-0.18,nan,nan,nan,0.78,0.54,1,nan,nan,nan,nan,nan,nan,0.66,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,297,BS16082-129,2MASS J13471172+2857471,-2.85,0.41,nan,nan,nan,0.25,-0.93,0.39,0.32,0,0.3,0.08,0.02,-0.36,0.24,-0.17,nan,nan,nan,-0.69,-0.55,0.01,nan,nan,nan,nan,nan,nan,-0.94,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,HON04
1,298,HE1345-0206,2MASS J13481600-0221469,-2.82,0.3,nan,nan,nan,0.09,-1.1,nan,0.07,-0.14,0.03,nan,-0.27,-0.82,-0.1,-0.37,nan,nan,nan,-0.33,-0.47,nan,nan,nan,nan,nan,nan,nan,-1.15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,299,BS16089-013,2MASS J13492196+3544502,-2.82,-0.23,nan,nan,nan,0.6,-0.68,0.25,0.36,0.13,0.3,nan,-0.26,-0.95,0.17,0.02,0.44,nan,nan,0.21,-0.16,0.32,nan,nan,nan,nan,nan,nan,-0.09,0.25,nan,nan,0.46,nan,0.49,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,AOK05
1,300,HE1346-0427,2MASS J13492506-0442148,-3.45,nan,nan,nan,nan,0.39,0.02,0.11,0.27,-0.03,0.52,nan,-0.12,-0.56,0.77,0.15,nan,nan,nan,-0.18,nan,nan,nan,nan,nan,nan,nan,nan,0.05,nan,nan,nan,nan,nan,2.13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,COH04
1,301,HE1347-1025,2MASS J13502239-1040189,-3.53,0.36,nan,nan,-0.29,0.48,0.05,0.5,0.43,0,0.35,nan,-0.44,-0.87,0.46,-0.11,1.03,nan,nan,-1.05,nan,nan,nan,nan,nan,nan,nan,nan,-0.61,nan,nan,nan,nan,nan,1.43,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,COH08
1,302,HE1351-1049,2MASS J13535712-1104245,-3.45,1.51,nan,nan,nan,0.28,-0.75,nan,0.34,0.3,0.37,nan,-0.25,-0.66,0.41,0.33,nan,nan,nan,0.13,nan,nan,nan,nan,nan,nan,nan,nan,0.09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,303,HE1356-0622,2MASS J13593030-0636349,-3.54,0.17,nan,nan,0.45,0.66,-0.05,0.91,0.51,0.33,0.35,nan,-0.44,-0.97,0.22,0.04,0.64,nan,nan,-1.8,-0.05,nan,nan,nan,nan,nan,nan,nan,-1.18,nan,nan,nan,nan,nan,0.61,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,COH08
1,304,BS16023-046,2MASS J14005447+2246423,-2.97,0.64,nan,nan,nan,0.04,nan,-0.03,0.31,0.12,0.43,nan,-0.09,-0.59,0.21,3.52,3.56,nan,nan,-0.08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BON09
1,305,CS30320-006,2MASS J14102002+1032113,-1.89,0.03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.08,nan,nan,nan,nan,nan,nan,nan,nan,-0.66,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,LAI07
1,307,BS16550-087,2MASS J14102672+1801239,-3.52,-0.41,1.19,nan,0.09,0.55,-0.6,0.43,0.24,-0.02,0.23,nan,-0.57,-1.01,0.14,-0.06,nan,nan,nan,0.53,0.33,0.77,nan,nan,nan,nan,nan,nan,-0.78,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,LAI08
1,308,HE1410-0004,2MASS J14130463-0018325,-3.07,2.2,nan,1.28,0.61,0.57,nan,nan,0.18,nan,0.32,nan,-0.1,-0.6,nan,nan,0.99,nan,nan,0.26,nan,nan,nan,nan,nan,nan,nan,nan,1.06,nan,nan,nan,nan,nan,2.44,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.43,nan,nan,COH06
1,309,HE1410+0213,2MASS J14130656+0159219,-2.21,1.94,1.93,nan,nan,0.17,nan,nan,nan,nan,0.45,nan,-0.47,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,COH06
1,310,HE1413-1954,2MASS J14160471-2008540,-3.19,1.41,nan,nan,nan,nan,nan,nan,0.35,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.37,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,311,HE1419-1759,2MASS J14221769-1813295,-3.17,-0.24,nan,nan,nan,0.25,-0.94,nan,0.3,0.09,0.2,nan,-0.45,-0.96,0.07,0.02,nan,nan,nan,-0.17,-0.52,nan,nan,nan,nan,nan,nan,nan,-0.86,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,312,HE1421-2006,2MASS J14235044-2020106,-2.65,0.26,nan,nan,nan,0.36,-0.94,nan,0.4,0.02,0.32,nan,-0.25,-0.75,-0.05,-0.2,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,-0.18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,313,CS22883-037,2MASS J14241943+1129263,-1.89,0.25,nan,nan,0.95,0.33,-0.78,0.17,0.39,-0.04,0.28,0.09,-0.03,-0.66,nan,nan,nan,nan,nan,0.32,-0.34,nan,nan,nan,nan,nan,nan,nan,0.01,0.26,nan,nan,nan,nan,0.38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PRE06
1,315,HE1424-0241,2MASS J14264033-0254274,-4.01,0.84,1.28,nan,0.09,0.44,-0.09,-0.91,-0.49,-0.09,-0.09,0.72,-0.3,0.17,1,0.31,nan,nan,nan,-1.61,0.34,nan,nan,nan,nan,nan,nan,nan,-0.91,nan,nan,nan,nan,nan,1.54,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,COH07
1,316,HE1429-0551,2MASS J14323128-0605002,-2.52,2.29,1.39,nan,1.12,0.5,nan,nan,0.72,nan,0.37,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.61,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,AOK07a
1,318,BS16477-003,2MASS J14325691+0646069,-3.36,0.38,3.45,3.41,0.16,0.26,-0.58,0.54,0.4,0.03,0.31,nan,-0.34,-0.54,0.3,0.06,0.22,nan,nan,0.11,-0.02,0.33,nan,nan,nan,nan,nan,nan,-0.5,0.07,0,-0.01,0.08,0.05,-0.01,0.05,nan,0.04,-0.22,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CAY04
1,319,HE1430-0026,2MASS J14331629-0039476,-2.78,0.48,nan,nan,nan,0.27,-0.88,nan,0.33,0.12,0.35,nan,-0.26,-0.63,0.28,-0.06,nan,nan,nan,-0.12,nan,nan,nan,nan,nan,nan,nan,nan,-0.31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,320,HE1430+0053,2MASS J14331652+0040490,-3.03,0.25,nan,nan,nan,0.2,-0.95,nan,0.25,0.07,0.33,nan,-0.4,-0.81,0.21,0.04,nan,nan,nan,-0.68,-0.53,nan,nan,nan,nan,nan,nan,nan,-0.14,nan,nan,nan,nan,nan,0.71,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,322,HE1430-1123,2MASS J14333363-1137073,-2.7,1.8,nan,nan,nan,0.33,-0.89,nan,0.49,0.39,0.32,nan,0.03,-0.61,0.32,-0.18,nan,nan,nan,0.34,0.54,nan,nan,nan,nan,nan,nan,nan,1.77,nan,nan,nan,1.81,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,323,HE1431-2142,2MASS J14340669-2155166,-2.6,0.45,nan,nan,nan,0.34,-1,nan,0.39,0.27,0.44,nan,-0.09,-0.53,0.17,0.07,nan,nan,nan,0.07,nan,nan,nan,nan,nan,nan,nan,nan,0.08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,324,CS22874-009,2MASS J14342316-2617376,-0.4,nan,nan,nan,nan,0.18,nan,nan,0.13,0.6,0.51,nan,-0.32,-0.28,nan,nan,nan,nan,nan,0.65,nan,nan,nan,nan,nan,nan,nan,nan,0.06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PRE00
1,325,HE1434-1442,2MASS J14372659-1454594,-2.43,2.16,1.55,nan,0.16,0.28,nan,0.83,0.3,0.18,0.77,nan,-0.22,-0.4,1.51,0.84,nan,nan,nan,nan,0.45,nan,nan,nan,nan,nan,nan,nan,1.23,nan,nan,nan,1.82,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.43,nan,nan,COH06
1,326,HE1443+0113,2MASS J14461636+0101098,-2.12,2.05,nan,nan,0.5,0.36,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,COH06
1,327,HE1447+0102,2MASS J14501503+0050151,-2.52,2.49,1.39,nan,1.05,1.41,nan,nan,0.9,nan,0.27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.74,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,AOK07a
1,328,BS16083-172,2MASS J14504144+4845136,-2.53,0.3,nan,nan,nan,0.5,-0.46,0.58,0.36,0.17,0.38,nan,-0.29,-0.69,0.29,0.13,0.43,nan,nan,0.19,-0.08,0.43,nan,nan,nan,nan,nan,nan,-0.33,nan,nan,nan,0.51,nan,0.66,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,AOK05
1,330,CS30325-094,2MASS J14543927+0421380,-3.3,0.09,0.27,0.77,0.18,0.36,-0.56,0.85,0.4,0.35,0.36,nan,-0.41,-0.59,0.22,0.11,0.28,nan,nan,-2.14,0.03,0.02,nan,nan,nan,nan,nan,nan,-1.93,0.07,0.42,0.63,0.08,0.05,-0.01,0.05,nan,0.04,-0.22,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CAY04
1,331,BS16472-018,2MASS J14562106+0152348,-2.46,-0.12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.19,nan,nan,nan,nan,nan,nan,nan,nan,-0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,LAI07
1,332,HE1500-1628,2MASS J15025662-1640073,-2.31,0.09,nan,nan,nan,0.16,-0.99,nan,-0.16,0.06,-0.16,-0.1,-0.28,-0.32,0.09,0.04,nan,nan,nan,-1.66,nan,nan,nan,nan,nan,nan,nan,nan,-1.72,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,BAR05
1,334,CS30325-028,2MASS J15051979+0617069,-2.89,0.46,-0.14,0.7,nan,0.38,nan,nan,0.33,0.03,0.35,0.03,-0.24,-0.56,0.15,-0.02,0.36,nan,nan,0.19,-0.03,0.35,nan,nan,nan,nan,nan,nan,-0.46,-0.18,nan,nan,nan,nan,0.07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,LAI08
1,336,CS30301-015,2MASS J15085684+0230184,-2.64,1.69,1.79,nan,nan,0.84,0.17,nan,0.79,nan,0.45,nan,nan,nan,nan,nan,0.37,nan,nan,0.37,0.31,nan,nan,nan,nan,nan,nan,nan,1.49,0.96,1.21,nan,0.8,0.87,0.22,nan,nan,0.64,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.99,nan,nan,AOK02a
1,337,HE1509-0806,2MASS J15114157-0817401,-2.96,2.19,2.38,nan,nan,0.63,0.35,nan,0.62,nan,1.05,nan,0,-0.04,0.08,nan,nan,nan,nan,1.2,1.03,nan,nan,nan,nan,nan,nan,nan,1.93,1.76,1.91,nan,2.31,nan,0.97,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.86,nan,nan,COH06
1,339,CS30306-132,2MASS J15141890+0727028,-2.41,0.46,nan,nan,nan,0.3,-0.63,0.54,0.35,0.13,0.41,0.27,0.08,-0.18,0.16,-0.24,nan,nan,nan,0.18,0.13,0.48,nan,nan,nan,nan,nan,nan,0.25,0.53,0.52,1.04,0.61,0.63,0.87,0.97,nan,0.88,nan,0.87,0.93,0.76,nan,nan,nan,nan,nan,nan,nan,1.27,1.53,HON04
1,340,BS16551-058,2MASS J15185499-0854118,-2.01,-0.67,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.44,nan,nan,nan,nan,nan,nan,nan,nan,0.26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,LAI07
1,341,HE1523-0901,2MASS J15260106-0911388,-3,-0.29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.1,1.27,1.17,1.53,1.56,1.66,1.86,1.76,1.5,1.92,nan,1.79,1.77,nan,nan,1.42,1.78,1.86,nan,nan,1.05,1.78,1.48,FRE07b
1,342,HE1523-1155,2MASS J15264103-1205426,-2.2,1.87,1.67,nan,1.17,0.6,nan,nan,0.48,nan,0.27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.76,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,AOK07a
1,343,HE1528-0409,2MASS J15305430-0419404,-2.65,2.42,2.02,nan,1.1,0.8,nan,nan,1.05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.34,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,AOK07a
1,344,CS30329-129,2MASS J15313906-0648397,-2.41,0.28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04,nan,nan,nan,nan,nan,nan,nan,nan,-0.65,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,LAI07
1,345,CS30312-059,2MASS J15344884-0123372,-3.13,0.35,-0.4,nan,0.25,0.38,-0.87,nan,0.34,0.03,0.4,0.05,-0.32,-0.93,0.2,-0.03,nan,nan,nan,0.02,-0.04,0.31,nan,nan,nan,nan,nan,nan,-0.12,nan,nan,nan,nan,nan,0.56,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,LAI08
1,348,CS30312-100,2MASS J15433166+0201174,-2.38,0.55,1.85,nan,0.16,0.45,nan,nan,0.2,-0.08,0.46,nan,0.17,nan,nan,0.27,0.64,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.74,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,AOK07a
1,349,CS30329-004,2MASS J15484188-0652373,-2.75,-0.28,nan,nan,nan,0.59,-0.51,0.52,0.36,0.05,0.33,nan,-0.28,-0.7,0.16,0.08,0.29,nan,nan,0.07,-0.09,0.36,nan,nan,nan,nan,nan,nan,-0.89,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,AOK05
1,352,BS16084-160,2MASS J16285078+5437067,-3.19,-0.04,0.86,0.4,-0.14,0.18,-0.96,0.65,0.19,0.04,0.09,-0.14,-0.4,-0.6,0.01,-0.11,nan,nan,nan,-2.07,nan,nan,nan,nan,nan,nan,nan,nan,-2.11,nan,nan,nan,nan,nan,-0.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,LAI08
1,354,BS16080-054,2MASS J16391853+6057426,-3.06,-0.37,0.83,nan,0.56,0.41,-0.69,0.5,0.42,0.12,0.49,0.16,-0.41,-0.51,0,-0.03,nan,nan,nan,0.38,0.27,0.45,nan,nan,nan,nan,nan,nan,-0.35,nan,nan,nan,nan,nan,0.34,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,LAI08
1,359,CS22878-101,2MASS J16453144+0814454,-3.29,-0.16,1.46,3.34,0.27,0.46,-0.7,0.43,0.42,0.18,0.36,nan,-0.34,-0.54,0.19,-0.16,0.48,nan,nan,-0.13,-0.21,0.11,nan,nan,nan,nan,nan,nan,-0.59,-0.31,0.04,0.03,0.12,0.09,-0.03,0.09,nan,-0.21,-0.18,0.05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CAY04
1,360,CS22878-121,2MASS J16475003+1139112,-2.38,-0.25,nan,nan,0.42,0.28,-0.92,0.4,0.39,0.05,0.27,0.17,-0.06,-0.67,nan,nan,nan,nan,nan,0.18,-0.13,0.58,nan,nan,nan,nan,nan,nan,-0.08,0.22,nan,nan,nan,nan,0.46,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PRE06
1,361,BS16080-093,2MASS J16503830+5913064,-3.18,-0.55,nan,nan,nan,0.41,-0.87,0.45,0.28,0.18,0.55,0.04,-0.32,-1.03,0.22,0.05,nan,nan,nan,0.04,-0.18,0.26,nan,nan,nan,nan,nan,nan,-0.25,nan,nan,nan,nan,nan,0.26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,LAI08
1,363,CS22947-187,2MASS J19183163-4713311,-2.47,1.14,nan,nan,0.59,0.48,-0.07,-0.08,0.49,-0.14,0.37,0.44,0.06,-0.21,-0.13,0.23,nan,nan,nan,0.58,0.07,0.24,nan,nan,nan,nan,nan,nan,1.06,0.65,0.69,nan,0.97,nan,0.7,1.34,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MCW9598
1,364,CS22891-200,2MASS J19351908-6142243,-3.47,0.64,nan,nan,0.27,0.45,-0.04,1.02,0.68,-0.3,0.15,nan,-0.65,-1.29,0.05,-0.03,nan,nan,nan,-1.32,nan,nan,nan,nan,nan,nan,nan,nan,-1.11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MCW9598
1,365,CS22896-110,2MASS J19354800-5326163,-2.69,0.25,nan,nan,0.83,0.33,-0.65,0.49,0.41,0.1,0.33,0.29,-0.19,-0.68,0.08,nan,nan,nan,nan,0.16,-0.33,0.41,nan,nan,nan,nan,nan,nan,-0.35,0.03,nan,nan,nan,nan,0.08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PRE06
1,366,CS22891-209,2MASS J19420216-6103446,-3.29,-0.56,1.21,0.82,0.6,0.32,-0.41,0.38,0.33,0.08,0.28,nan,-0.34,-0.41,0.13,0.05,0.49,nan,nan,0.18,-0.07,0.28,nan,nan,nan,nan,nan,nan,-0.6,-0.21,0,0.12,-0.28,0.05,-0.1,-0.08,nan,-0.58,-0.22,-0.23,nan,-0.36,nan,nan,nan,nan,nan,nan,nan,nan,nan,CAY04
1,368,CS22896-154,2MASS J19422688-5658340,-2.68,0.31,-0.15,0.98,0.2,0.05,-0.75,0.57,0.37,0.14,0.39,nan,-0.21,-0.63,0.3,-0.03,0.29,nan,nan,0.63,0.17,0.78,nan,nan,nan,nan,nan,nan,0.45,0.48,0.7,0.71,0.74,0.82,0.84,0.91,nan,1,0.65,1.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CAY04
1,370,CS22964-074,2MASS J19492941-3942394,-1.98,nan,nan,nan,nan,-0.03,nan,nan,0.05,-0.14,0.25,nan,-0.08,-0.06,nan,nan,nan,nan,nan,-0.22,nan,nan,nan,nan,nan,nan,nan,nan,-0.12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PRE00
1,371,CS22873-055,2MASS J19534978-5940001,-2.98,-0.65,1.15,0.56,0.79,0.39,-0.19,0.37,0.36,0.03,0.2,nan,-0.34,-0.47,0.16,0.06,0.29,nan,nan,-0.39,-0.51,-0.16,nan,nan,nan,nan,nan,nan,-0.51,-0.41,-0.01,-0.29,-0.22,0.04,-0.19,0.01,nan,-0.21,-0.23,-0.24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CAY04
1,372,CS22964-214,2MASS J20055000-3927433,-2.28,nan,nan,nan,nan,0.18,nan,nan,0.11,0.23,0.53,nan,-0.12,-0.06,nan,nan,nan,nan,nan,-0.25,nan,nan,nan,nan,nan,nan,nan,nan,-0.07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PRE00
1,373,CS22873-139,2MASS J20055515-5917114,-3.37,nan,nan,nan,-0.47,-0.06,-0.78,nan,0.18,nan,0.59,nan,nan,nan,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,SPI00
1,374,CS22873-128,2MASS J20070379-5834575,-2.86,0.18,nan,nan,-0.07,0.48,-0.42,0.91,0.49,0.26,0.46,nan,-0.38,-0.92,0.19,0.24,nan,nan,nan,-0.43,-0.46,nan,nan,nan,nan,nan,nan,nan,-0.96,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MCW9598
1,375,CS22885-048,2MASS J20195377-3856360,-1.34,nan,nan,nan,nan,0.37,nan,nan,-0.21,nan,0.9,nan,0.16,-0.06,nan,nan,nan,nan,nan,0.67,nan,nan,nan,nan,nan,nan,nan,nan,0.08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PRE00
1,379,CS22885-096,2MASS J20205117-3953301,-3.81,0.38,0.38,3.86,0.06,0.2,-0.74,0.59,0.4,0.42,0.42,nan,-0.42,-0.55,0.44,0.06,0.51,nan,nan,-1.26,0.06,-0.37,nan,nan,nan,nan,nan,nan,-1.12,0.1,0.03,0.02,0.11,0.08,0.02,0.08,nan,0.07,-0.19,0.04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,CAY04
1,381,CS22950-046,2MASS J20212839-1316336,-3.38,0.05,nan,nan,-0.2,0.34,-0.41,0.44,0.44,-0.24,0.14,1.46,-0.71,-0.85,0.24,0.27,nan,nan,nan,-0.62,-0.54,nan,nan,nan,nan,nan,nan,nan,-1.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,MCW9598
1,383,CS22950-078,2MASS J20245779-1629577,-1.84,nan,nan,nan,nan,0.24,nan,nan,0.41,-0.3,0.21,nan,-0.16,-0.25,nan,nan,nan,nan,nan,-0.33,nan,nan,nan,nan,nan,nan,nan,nan,-0.57,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,PRE00
1,384,CS22943-137,2MASS J20262899-4300426,-3.22,nan,nan,nan,nan,0.63,-0.62,0.31,0.03,-0.11,0.22,nan,-0.36,-0.5,0.69,0.53,nan,nan,nan,-1.4,-0.21,nan,nan,nan,nan,nan,nan,nan,-0.48,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RYA96
