p Sequence ref name simbad ulli ulc uln ulo ulna ulmg ulal ulsi ulsc ulti ulv ulcr ulmn ulco ulni ulzn ulga ulge ulsr uly ulzr ulmo ulru ulrh ulpd ulba ulla ulce ulpr ulnd ulsm uleu ulgd ultb uldy ulho uler ultm ullu ulhf ulos ulir ulpt ulag ulpb ulth ulu
1 87 PRE06 CS22958-083 2MASS J02154272-5359561 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 88 BAR05 CS22175-007 2MASS J02172662-0900451 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 89 PRE00 CS22175-034 2MASS J02202151-1038089 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 90 CAR02 HE0218-2738 2MASS J02210393-2724404 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 91 BAR05 CS29510-058 2MASS J02214656-2401586 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
2 92 LAI07 CS29510-058 2MASS J02214656-2401586 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 93 AOK07a CS29528-028 2MASS J02282654-2133009 * * 1 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 94 LAI07 CS29510-008 2MASS J02312487-2400223 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 95 BAR05 HE0231-4016 2MASS J02334439-4003428 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 96 BON09 CS31061-032 2MASS J02384329+0319024 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
2 97 MCW9598 CS22189-009 2MASS J02414237-1328105 * * * * * * * * * * * * * * * * * * * * * * * * * 1 * * * * * * * * * * * * * * * * * * * * *
1 98 CAY04 CS22189-009 2MASS J02414237-1328105 * * * * * * * * * * * * * * * * * * * * * * * * * * 1 1 1 1 1 1 * * 1 1 1 * * * * * * * * * *
1 99 BAR05 HE0240-6105 2MASS J02420609-6053031 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 100 BAR05 HE0240-0807 2MASS J02425772-0754354 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 101 CAR02 HE0242-0732 2MASS J02450071-0719420 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 102 BAR05 HE0243-5238 2MASS J02453619-5225577 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
1 103 BAR05 HE0244-4111 2MASS J02455745-4059068 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
