um, n, k
0.51247212, 1.85107511, 0.00115405
0.512787625, 1.85107163, 0.00115163
0.513103519, 1.85106824, 0.00114868
0.513419802, 1.85106473, 0.00114573
0.513736476, 1.85106137, 0.00114278
0.51405354, 1.85105782, 0.00113982
0.514370996, 1.8510545, 0.00113687
0.514688844, 1.85105057, 0.00113428
0.515007085, 1.85104697, 0.00113197
0.51532572, 1.8510437, 0.00112902
0.515644749, 1.85104007, 0.00112638
0.515964174, 1.85103683, 0.00112412
0.516283995, 1.85103289, 0.00112145
0.516604212, 1.85102896, 0.00111948
0.516924827, 1.85102503, 0.00111727
0.517245841, 1.85102132, 0.00111455
0.517567253, 1.85101816, 0.00111237
0.517889064, 1.85101423, 0.00110961
0.518211277, 1.85101029, 0.00110765
0.51853389, 1.85100636, 0.00110568
0.518856906, 1.85100242, 0.00110357
0.519180324, 1.85099849, 0.00110074
0.519504145, 1.85099455, 0.00109878
0.519828371, 1.85099062, 0.00109862
0.520153001, 1.85098669, 0.00111455
0.520478038, 1.85098275, 0.00112087
0.520803481, 1.85097882, 0.00111891
0.521129331, 1.85097488, 0.00111691
0.521455589, 1.85097095, 0.00111398
0.521782256, 1.85096701, 0.00111201
0.522109332, 1.85096308, 0.00111004
0.522436819, 1.85095915, 0.00110807
0.522764717, 1.85095521, 0.00110611
0.523093026, 1.85095128, 0.00110414
0.523421749, 1.85094734, 0.00110217
0.523750884, 1.85094341, 0.00109931
0.524080434, 1.85093948, 0.00109724
0.524410399, 1.85093554, 0.00109527
0.52474078, 1.85093161, 0.0010933
0.525071577, 1.85092684, 0.00109217
0.525402791, 1.85092274, 0.00109037
0.525734424, 1.85091881, 0.0010884
0.526066475, 1.85091487, 0.00108644
0.526398947, 1.85091094, 0.00108447
0.526731838, 1.850907, 0.0010825
0.527065151, 1.85090234, 0.00108054
0.527398887, 1.85089813, 0.00107928
0.527733045, 1.8508942, 0.0010776
0.528067626, 1.85089027, 0.00107563
0.528402633, 1.85088633, 0.00107433
0.528738064, 1.8508824, 0.0010727
0.529073922, 1.85087783, 0.00107073
0.529410207, 1.85087353, 0.00106876
0.529746919, 1.85086959, 0.0010674
0.53008406, 1.85086566, 0.00107811
0.530421631, 1.85086173, 0.0010843
0.530759631, 1.85085724, 0.00108135
0.531098063, 1.85085286, 0.00107839
0.531436927, 1.85084893, 0.00107493
0.531776223, 1.85084449, 0.00107149
0.532115953, 1.85084006, 0.00106854
0.532456117, 1.85083612, 0.00106559
0.532796716, 1.85083219, 0.00106264
0.533137752, 1.85082782, 0.00105969
0.533479224, 1.85082332, 0.00105632
0.533821134, 1.85081939, 0.00105319
0.534163482, 1.85081545, 0.00105084
0.53450627, 1.85081152, 0.00104789
0.534849498, 1.85080723, 0.00104494
0.535193168, 1.85080265, 0.00104199
0.535537279, 1.85079871, 0.00103904
0.535881833, 1.85079478, 0.00103639
0.53622683, 1.85079056, 0.00103414
0.536572272, 1.85078591, 0.00103146
0.53691816, 1.85078198, 0.00102923
0.537264493, 1.85077805, 0.00102652
0.537611274, 1.85077389, 0.00102433
0.537958503, 1.85076918, 0.00102138
0.53830618, 1.85076524, 0.00101862
0.538654307, 1.85076114, 0.00101665
0.539002885, 1.85075637, 0.00101453
0.539351914, 1.85075244, 0.00101172
0.539701396, 1.85074851, 0.00100975
0.540051331, 1.85074447, 0.00100992
0.540401719, 1.85073964, 0.00102573
0.540752563, 1.8507357, 0.00102278
0.541103863, 1.85073177, 0.00101989
0.541455619, 1.85072779, 0.00101788
0.541807833, 1.8507229, 0.00101495
0.542160506, 1.85071897, 0.00101298
0.542513637, 1.85071503, 0.00101002
0.54286723, 1.8507111, 0.00100805
0.543221283, 1.85070717, 0.00100512
0.543575799, 1.85070229, 0.00100312
0.543930777, 1.8506983, 0.00100115
0.54428622, 1.85069436, 0.00099918
0.544642127, 1.85069043, 0.00099632
0.544998501, 1.85068562, 0.00099425
0.54535534, 1.85068156, 0.00099228
0.545712648, 1.85067763, 0.00098947
0.546070424, 1.85067369, 0.00098735
0.546428669, 1.85066895, 0.00098538
0.546787385, 1.85066482, 0.00098341
0.547146572, 1.85066089, 0.00098145
0.547506231, 1.85065695, 0.00097948
0.547866363, 1.85065302, 0.00097751
0.54822697, 1.85064836, 0.00097554
0.548588051, 1.85064415, 0.00097358
0.548949609, 1.85064022, 0.00097161
0.549311643, 1.85063628, 0.00096964
0.549674155, 1.85063235, 0.00096768
0.550037146, 1.85062777, 0.00097088
0.550400617, 1.85062348, 0.00097804
0.550764568, 1.85061955, 0.00097977
0.551129001, 1.85061561, 0.00097781
0.551493917, 1.85061168, 0.00097584
0.551859316, 1.85060718, 0.00097387
0.5522252, 1.85060281, 0.00097191
0.552591569, 1.85059888, 0.00096994
0.552958424, 1.85059494, 0.00096797
0.553325767, 1.85059101, 0.00096601
0.553693599, 1.85058708, 0.00096404
0.55406192, 1.85058314, 0.00096207
0.554430731, 1.85057921, 0.0009601
0.554800033, 1.85057484, 0.00095814
0.555169828, 1.85057034, 0.00095617
0.555540116, 1.8505664, 0.0009546
0.555910899, 1.85056247, 0.00095324
0.556282176, 1.85055854, 0.00095127
0.55665395, 1.8505546, 0.0009493
0.557026221, 1.85055067, 0.00094767
0.557398991, 1.85054642, 0.00094637
0.557772259, 1.8505421, 0.0009444
0.558146028, 1.85053858, 0.00094272
0.558520298, 1.85053393, 0.00094147
