wavelen (um), n, k
1.97009, 1.70885, -1
2, 1.7085, -1
2.24829, 1.7047, -1
2.32542, 1.7035, -1
2.500, 1.7007, -1
2.700, 1.6973, 0.00000011
2.800, 1.6954, -1
3.000, 1.6915, -1
3.3033, 1.68526, -1
3.333, 1.6846, -1
3.448, 1.682, -1
3.500, 1.6806, -1
3.5078, 1.88055, -1
3.571, 1.6791, -1
3.704, 1.6758, -1
3.800, 1.6734, 0.00000002
3.846, 1.6722, -1
4.000, 1.6679, 0.000000037
4.167, 1.6634, 0.000000074
4.258, 1.86039, 0.0000001
4.348, 1.6581, 0.00000015
4.500, 1.6533, 0.00000025
4.545, 1.6520, 0.00000029
4.762, 1.6450, 0.00000058
5.000, 1.6373, 0.0000012
5.128, 1.6328, 0.00000163
5.208, 1.6299, 0.000002
5.263, 1.6278, 0.0000023
5.319, 1.6256, 0.0000027
5.376, 1.6233, 0.0000031
5.435, 1.6210, 0.0000035
5.495, 1.6186, 0.000004
5.555, 1.6161, 0.0000046
5.618, 1.6135, 0.0000053
5.682, 1.6108, 0.0000061
5.747, 1.6080, 0.0000071
5.814, 1.6051, 0.0000081
5.882, 1.6021, 0.000009
5.952, 1.5989, 0.000011
6.024, 1.6957, 0.000012
6.098, 1.5922, 0.000014
6.172, 1.5887, 0.000016
6.250, 1.5849, 0.0000183
6.329, 1.5811, 0.000022
6.410, 1.5770, 0.000025
6.494, 1.5727, 0.000029
6.579, 1.6683, 0.000033
6.667, 1.5636, 0.000046
6.757, 1.5510, 0.0000538
6.849, 1.5536, 0.0000598
6.944, 1.548, 0.00007
7.042, 1.543, 0.0000789
7.143, 1.537, 0.0000859
7.246, 1.530, 0.000093
7.352, 1.524, 0.000103
7.463, 1.517, 0.000115
7.576, 1.509, 0.000131
7.692, 1.502, 0.000154
7.812, 1.493, 0.000184
7.936, 1.485, 0.000211
8.065, 1.475, 0.000247
8.197, 1.465, 0.000273
8.333, 1.455, 0.000309
8.475, 1.443, 0.000326
8.621, 1.431, 0.000352
8.772, 1.418, 0.000414
8.920, 1.404, 0.000576
9.081, 1.389, 0.000627
9.259, 1.373, 0.000847
9.434, 1.355, 0.00107
9.524, 1.346, 0.00133
9.615, 1.336, 0.00158
9.709, 1.326, 0.00192
9.804, 1.315, 0.00244
9.901, 1.304, 0.00302
10.00, 1.292, 0.00390
10.10, 1.280, 0.00470
10.20, 1.267, 0.00513
10.31, 1.253, 0.00429
10.42, 1.238, 0.00355
10.53, 1.224, 0.00340
10.64, 1.209, 0.00370
10.75, 1.191, 0.00458
10.87, 1.174, 0.00591
10.99, 1.155, 0.00780
11.11, 1.135, 0.0102
11.24, 1.114, 0.0137
11.36, 1.091, 0.0162
11.49, 1.067, 0.0196
11.63, 1.041, 0.0223
11.70, 1.027, 0.0229
11.78, 1.013, 0.0227
11.90, 0.982, 0.0205
12.05, 0.949, 0.0171
12.20, 0.913, 0.0147
12.27, 0.893, 0.0143
12.35, 0.873, 0.0146
12.50, 0.829, 0.0167
12.60, 0.780, 0.0236
12.82, 0.724, 0.0295
12.89, 0.660, 0.0346
13.33, 0.503, 0.0475
13.51, 0.383, 0.0913
13.70, 0.267, 0.172
13.89, 0.156, 0.317
14.08, 0.139, 0.478
14.28, 0.132, 0.585
14.48, 0.134, 0.692
14.71, 0.136, 0.787
14.83, 0.143, 0.877
15.15, 0.154, 0.955
15.38, 0.155, 1.03
15.63, 0.151, 1.09
15.87, 0.135, 1.17
16.13, 0.116, 1.26
16.39, 0.108, 1.35
16.67, 0.098, 1.45
16.95, 0.086, 1.56
17.24, 0.087, 1.67
17.54, 0.086, 1.78
17.80, 0.088, 1.90
18.18, 0.089, 2.03
18.52, 0.091, 2.16
18.87, 0.093, 2.31
18.23, 0.097, 2.47
18.61, 0.102, 2.64
20.00, 0.109, 2.84
20.41, 0.119, 3.06
20.03, 0.131, 3.31
21.28, 0.148, 3.60
21.74, 0.170, 3.95
22.22, 0.207, 4.39
22.73, 0.261, 4.95
23.20, 0.362, 5.71
23.81, 0.543, 6.86
24.39, 1.010, 8.97
25.00, 5.050, 15.2
25.64, 13.5, 4.06
26.32, 9.28, 1.02
27.03, 7.44, 0.560
27.78, 6.46, 0.379
28.57, 5.83, 0.266
29.41, 5.35, 0.208
30.30, 5.03, 0.168
31.25, 4.74, 0.129
32.26, 4.51, 0.126
33.33, 4.36, 0.113
37.04, 3.97, 0.029
38.46, 3.87, 0.0276
40.00, 3.78, 0.0265
41.67, 3.71, 0.0254
43.47, 3.64, 0.0233
45.46, 3.58, 0.0215
47.62, 3.53, 0.0214
50.00, 3.48, 0.0218
52.63, 3.44, 0.022
55.56, 3.40, 0.0236
58.82, 3.37, 0.0255
62.50, 3.34, 0.0246
66.67, 3.31, 0.028
71.43, 3.28, 0.0299
76.92, 3.26, 0.0313
83.33, 3.24, 0.0338
90.91, 3.22, 0.0387
95.24, 3.21, 0.0455
100.0, 3.20, 0.0356
105.2, 3.20, 0.0236
111.1, 3.19, 0.0146
117.6, 3.18, 0.0062
125.0, 3.178, 0.0048
133.3, 3.172, 0.0039
142.9, 3.167, 0.00342
153.8, 3.162, 0.00315
166.7, 3.157, 0.0028
181.8, 3.153, 0.00253
200.0, 3.149, 0.00228
222.2, 3.146, 0.002
250.0, 3.143, 0.00179
285.7, 3.140, 0.00151
333.3, 3.138, 0.00121
400.0, 3.136, 0.00098
500.0, 3.134, 0.00073
625.0, 3.133, 0.00058
